window,state,year,label,method,dpd_before,eod_before,pp_diff_before,acc_gap_before,acc_before,dpd_after,eod_after,pp_diff_after,acc_gap_after,acc_after,threshold_g0,threshold_g1,intervention_triggered,pos_rate_shift,female_rate_shift,agep_mean_shift,wkhp_mean_shift
0,CA,2015,baseline_same,hill_climb_dpd,0.17353392787304667,0.2712573758992348,0.038024658366617836,0.003486771844582237,0.7866,0.005857417072370363,0.12662531224204648,0.14055592687703,0.01543985856402419,0.779,0.6200000000000001,0.3999999999999999,True,0.00010313375116682844,0.001633444459261224,0.02439477445729205,0.011509428369887753
1,CA,2016,temporal_1yr,hill_climb_dpd,0.044273522365866735,0.2100182975579341,0.15529208000957528,0.017399116104250156,0.781,0.005663747883193626,0.10271535124953643,0.12791424262012496,0.011315879145842866,0.7874,0.5800000000000001,0.41999999999999993,True,0.008503133751166847,0.014766555540738746,0.008647383830920046,0.027442107585445734
2,CA,2017,temporal_2yr,hill_climb_dpd,0.008645017142268563,0.10307190612238182,0.11055692035368947,0.02843343137854193,0.7782,0.006558327593573332,0.13424218841530022,0.12205427262056179,0.029953765852126057,0.7774,0.6000000000000001,0.41999999999999993,True,0.02470313375116684,0.004633444459261227,0.01341259369510821,0.0006392322893297477
3,CA,2018,temporal_3yr,hill_climb_dpd,0.022635701580071,0.08540603674780989,0.14285752882452674,0.017482845890696264,0.774,0.0072094060889882905,0.14713275459211245,0.15145523708421804,0.031460934292660836,0.7666,0.6400000000000001,0.41999999999999993,True,0.04150313375116682,0.001433444459261246,0.0004907740420910833,0.0038593093089802537
4,MS,2018,demo_shift_MS,hill_climb_dpd,0.051462152269833195,0.30585403694718916,0.2696832579185521,0.0015576211813436158,0.7418,0.006761160964697699,0.19575769590698153,0.2153318036409277,0.030423143885436765,0.7438,0.6000000000000001,0.43999999999999995,True,0.08589686624883314,0.02343344445926121,0.06161864875100497,0.12430660909991188
5,HI,2018,demo_shift_HI,hill_climb_dpd,0.011052597871726078,0.11458345257118294,0.1704502101836567,0.015611900832070758,0.7408,0.0015864865502568937,0.09513726736886131,0.16254924753395295,0.015233256379212023,0.741,0.5800000000000001,0.43999999999999995,True,0.007703133751166824,0.002633444459261225,0.06685020998473222,0.027303927126794345
6,WV,2018,demo_shift_WV,hill_climb_dpd,0.013860994031286267,0.16126377970326974,0.23943074469390258,0.02679299286891723,0.755,0.004504823060168028,0.20206150667501344,0.2458605910218813,0.029416681024839186,0.7536,0.6000000000000001,0.43999999999999995,True,0.07869686624883315,0.002766555540738791,0.09554866991178154,0.0287317918661902
7,ND,2018,feature_drift_ND,hill_climb_dpd,0.027562997787046573,0.18017531595320313,0.24563739050253575,0.05167399218837643,0.7149270482603816,0.005858717710765959,0.24888506488073842,0.25739752998031146,0.04837291834507795,0.7081930415263749,0.6200000000000001,0.41999999999999993,True,0.0007309676456674352,0.023599776640626513,0.08173417362565447,0.19073117384992336
8,NY,2018,feature_drift_NY,hill_climb_dpd,0.011003496406706448,0.14091849341604973,0.13287731863356533,0.02801701688071112,0.7628,0.003276551193452215,0.11134808077593461,0.12911148009421936,0.02167032905841837,0.766,0.6000000000000001,0.41999999999999993,True,0.04250313375116682,0.026633444459261246,0.044749254172277514,0.00676109894065503
9,FL,2018,feature_drift_FL,hill_climb_dpd,0.032645786272486044,0.06300569654437488,0.21057143873545914,0.018080499106575054,0.7622,0.0002969270057915918,0.1249806284045302,0.23877132545931756,0.03133501298194352,0.7566,0.6200000000000001,0.3999999999999999,True,0.02849686624883313,0.011433444459261255,0.1464573610817553,0.05977633490981806
10,PR,2018,combined_PR,hill_climb_dpd,0.14031713985115662,0.3165305827724427,0.21750753870714337,0.1327858434102609,0.769,0.005802669828764928,0.03963306322788507,0.13578290500041054,0.029911085363089174,0.775,0.54,0.45999999999999996,True,0.2588968662488331,0.016766555540738748,0.06739658713707937,0.13577972085016807
11,AK,2018,combined_AK,hill_climb_dpd,0.10079183018470034,0.08917220447940619,0.039788309421817325,0.04883038529392103,0.7532430908065426,0.005639121914588263,0.1363522331015482,0.10327290774213771,0.04531678350812407,0.7445008460236887,0.6000000000000001,0.3999999999999999,True,0.020135959470286957,0.020209984756756838,0.07066681758733812,0.3454136319139292
