window,state,year,label,accuracy,auc,dpd,eod,fpr_gap,fnr_gap,pos_rate_shift,female_rate_shift,agep_mean_shift,wkhp_mean_shift
0,CA,2015,baseline_same,0.7866,0.8632018405849604,0.17353392787304667,0.2712573758992348,0.07980966610160292,0.19144770979763193,0.00010313375116682844,0.001633444459261224,0.02439477445729205,0.011509428369887753
1,CA,2016,temporal_1yr,0.798,0.8662644906666668,0.1345178844326959,0.17787564828757496,0.051668751735850824,0.12620689655172412,0.008503133751166847,0.014766555540738746,0.008647383830920046,0.027442107585445734
2,CA,2017,temporal_2yr,0.782,0.8555112944704659,0.1380080570025955,0.18390550576843623,0.054388688107288696,0.12951681766114753,0.02470313375116684,0.004633444459261227,0.01341259369510821,0.0006392322893297477
3,CA,2018,temporal_3yr,0.7816,0.8566159909909908,0.14834104024618877,0.18071038085813135,0.05304006560449859,0.12767031525363276,0.04150313375116682,0.001433444459261246,0.0004907740420910833,0.0038593093089802537
4,MS,2018,demo_shift_MS,0.7496,0.8176345180340552,0.14904176610844838,0.11484711302130365,0.08302343739246967,0.03182367562883398,0.08589686624883314,0.02343344445926121,0.06161864875100497,0.12430660909991188
5,HI,2018,demo_shift_HI,0.7518,0.8117277228813606,0.11392366662659253,0.15117899317019526,0.037074637659225834,0.11410435551096942,0.007703133751166824,0.002633444459261225,0.06685020998473222,0.027303927126794345
6,WV,2018,demo_shift_WV,0.757,0.8152093201794828,0.13755943640529647,0.12234095244061002,0.06123321583175986,0.06110773660885016,0.07869686624883315,0.002766555540738791,0.09554866991178154,0.0287317918661902
7,ND,2018,feature_drift_ND,0.7349046015712682,0.7959006557840571,0.2010157150287072,0.18700690894967298,0.10792924539293652,0.07907766355673645,0.0007309676456674352,0.023599776640626513,0.08173417362565447,0.19073117384992336
8,NY,2018,feature_drift_NY,0.7732,0.8486513679106732,0.15687394902584328,0.2153129519490028,0.06671542066948111,0.1485975312795217,0.04250313375116682,0.026633444459261246,0.044749254172277514,0.00676109894065503
9,FL,2018,feature_drift_FL,0.77,0.836839771894385,0.19619712299684433,0.2827843070241777,0.09456888985431525,0.18821541716986245,0.02849686624883313,0.011433444459261255,0.1464573610817553,0.05977633490981806
10,PR,2018,combined_PR,0.777,0.8338001696273696,0.06554862985431487,0.10131187012412865,0.036877174518802736,0.06443469560532591,0.2588968662488331,0.016766555540738748,0.06739658713707937,0.13577972085016807
11,AK,2018,combined_AK,0.7532430908065426,0.8254580514265113,0.15001697330048397,0.19365547470252986,0.1009195258446463,0.09273594885788355,0.020135959470286957,0.020209984756756838,0.07066681758733812,0.3454136319139292
