window,state,year,label,dpd_static,eod_static,acc_static,auc_static,dpd_global,eod_global,acc_global,auc_global,dpd,eod,fpr_gap,fnr_gap,pp_diff,acc_gap,auc_gap,accuracy,auc,threshold_g0,threshold_g1,pos_rate_shift,female_rate_shift,agep_mean_shift,wkhp_mean_shift,intervention_triggered,worst_metric,likely_cause,dpd_after,eod_after,pp_diff_after,acc_gap_after,acc_after
0,CA,2015,baseline_same,0.17353392787304667,0.2712573758992348,0.7866,0.8632018405849604,0.17353392787304667,0.2712573758992348,0.7866,0.8632018405849604,0.17353392787304667,0.2712573758992348,0.07980966610160292,0.19144770979763193,0.038024658366617836,0.003486771844582237,0.0052952275929211146,0.7866,0.8632018405849604,0.8199999999999996,0.6799999999999997,0.00010313375116682844,0.001633444459261224,0.02439477445729205,0.011509428369887753,True,fnr_gap,baseline,0.03930332635272554,0.02265994425112204,0.030811002242946528,0.0702597852130562,0.7262
1,CA,2016,temporal_1yr,0.1345178844326959,0.17787564828757496,0.798,0.8662644906666668,0.09726080087563505,0.20193818572905253,0.697,0.8662644906666668,0.013634040312254764,0.03008196450610776,0.012840585195763008,0.01724137931034475,0.101906525000658,0.06561841724835815,0.003149216239368924,0.7186,0.8662644906666668,0.5999999999999999,0.47999999999999987,0.008503133751166847,0.014766555540738746,0.008647383830920046,0.027442107585445734,True,pp_diff,baseline,0.047193166329354386,0.012263868041400852,0.08968049795347643,0.022319400272603374,0.7924
2,CA,2017,temporal_2yr,0.1380080570025955,0.18390550576843623,0.782,0.8555112944704659,0.1483593591941008,0.2329794893643991,0.7652,0.8555112944704659,0.046206552102500964,0.01286753509708323,0.008689153341381886,0.004178381755701344,0.09359530946229466,0.02615469451400876,0.008969729792715597,0.7756,0.8555112944704659,0.5999999999999999,0.47999999999999987,0.02470313375116684,0.004633444459261227,0.01341259369510821,0.0006392322893297477,False,pp_diff,baseline,0.046206552102500964,0.01286753509708323,0.09359530946229466,0.02615469451400876,0.7756
3,CA,2018,temporal_3yr,0.14834104024618877,0.18071038085813135,0.7816,0.8566159909909908,0.17563187667569358,0.2697910751097907,0.7644,0.8566159909909908,0.07618436286353891,0.03705265915363473,0.002211223055295225,0.03484143609833951,0.10438387157507523,0.019182803391758707,0.0015238577343048565,0.7748,0.8566159909909908,0.4399999999999999,0.35999999999999993,0.04150313375116682,0.001433444459261246,0.0004907740420910833,0.0038593093089802537,True,pp_diff,baseline,0.0710894675687509,0.0014547209188245647,0.10790298997878922,0.00567706812240909,0.7794
4,MS,2018,demo_shift_MS,0.14904176610844838,0.11484711302130365,0.7496,0.8176345180340552,0.15023770806757514,0.09798209716125891,0.7306,0.8176345180340552,0.06050973405214677,0.0779421483362803,0.0005984161522936127,0.07734373218398669,0.1985413841991543,0.0008091372334196878,0.03611296192136515,0.7024,0.8176345180340552,0.4399999999999999,0.35999999999999993,0.08589686624883314,0.02343344445926121,0.06161864875100497,0.12430660909991188,True,pp_diff,label_distribution_shift,0.06050973405214677,0.0779421483362803,0.1985413841991543,0.0008091372334196878,0.7024
5,HI,2018,demo_shift_HI,0.11392366662659253,0.15117899317019526,0.7518,0.8117277228813606,0.10822040477878514,0.13025996707120355,0.743,0.8117277228813606,0.03191688633876821,0.03584953984241501,0.024581580973151995,0.011267958869263017,0.13387077284261772,0.0012704412227118045,0.016155052028465233,0.737,0.8117277228813606,0.41999999999999993,0.35999999999999993,0.007703133751166824,0.002633444459261225,0.06685020998473222,0.027303927126794345,True,pp_diff,baseline,0.047819953358836376,0.008718997434063569,0.12118693375446765,0.003273292211593337,0.7346
6,WV,2018,demo_shift_WV,0.13755943640529647,0.12234095244061002,0.757,0.8152093201794828,0.14208161785316603,0.08836658604949421,0.7378,0.8152093201794828,0.06961163500582468,0.07206860152637493,0.00481252179813485,0.06725607972824008,0.19812635786912314,0.00859175900900322,0.016538930740728652,0.7184,0.8152093201794828,0.3799999999999999,0.33999999999999997,0.07869686624883315,0.002766555540738791,0.09554866991178154,0.0287317918661902,True,pp_diff,label_distribution_shift,0.07799059303967232,0.05868394554479325,0.2006121789387631,0.0031547262389388653,0.7058
7,ND,2018,feature_drift_ND,0.2010157150287072,0.18700690894967298,0.7349046015712682,0.7959006557840571,0.17553105783252942,0.12147932627095442,0.6980920314253648,0.7959006557840571,0.11608521400381405,0.07087574641964511,0.037124993794433125,0.03375075262521199,0.23391170367080083,0.018351196728500163,0.03692831155807885,0.683726150392817,0.7959006557840571,0.47999999999999987,0.3799999999999999,0.0007309676456674352,0.023599776640626513,0.08173417362565447,0.19073117384992336,True,pp_diff,baseline,0.08484279872321765,0.0591328938106688,0.2458258670641234,0.0017448678856606392,0.7048260381593715
8,NY,2018,feature_drift_NY,0.15687394902584328,0.2153129519490028,0.7732,0.8486513679106732,0.15339818377584719,0.20395908841985289,0.7776,0.8486513679106732,0.06142561419133735,0.02668895885523806,0.010939179381489,0.01574977947374906,0.11101205035232431,0.004570242476309105,0.009326467154168516,0.7756,0.8486513679106732,0.6199999999999999,0.47999999999999987,0.04250313375116682,0.026633444459261246,0.044749254172277514,0.00676109894065503,True,pp_diff,baseline,0.04748783074133711,0.0128568784141362,0.09563593932322056,0.02842040534380108,0.763
9,FL,2018,feature_drift_FL,0.19619712299684433,0.2827843070241777,0.77,0.836839771894385,0.20153411752188213,0.3385254692655124,0.7792,0.836839771894385,0.08334851619021338,0.0649326133431763,0.008137712194019375,0.05679490114915692,0.17730135658914725,0.003205145153720168,0.028929339722242875,0.7732,0.836839771894385,0.6799999999999997,0.47999999999999987,0.02849686624883313,0.011433444459261255,0.1464573610817553,0.05977633490981806,True,pp_diff,baseline,0.03791147344858842,0.047181808258663055,0.20418922278075458,0.007825861364732845,0.7708
