window,state,year,label,dpd_static,eod_static,acc_static,auc_static,dpd_global,eod_global,acc_global,auc_global,dpd,eod,fpr_gap,fnr_gap,pp_diff,acc_gap,auc_gap,accuracy,auc,threshold_g0,threshold_g1,pos_rate_shift,female_rate_shift,agep_mean_shift,wkhp_mean_shift,intervention_triggered,worst_metric,likely_cause,dpd_after,eod_after,pp_diff_after,acc_gap_after,acc_after
0,CA,2015,baseline_same,0.13642624991089608,0.16440191120122544,0.8186,0.8968999903705546,0.13642624991089608,0.16440191120122544,0.8186,0.8968999903705546,0.13642624991089608,0.16440191120122544,0.05423534425789893,0.1101665669433265,0.03140883522897053,0.012053589490171546,0.0006082273953571526,0.8186,0.8968999903705546,0.7799999999999998,0.6999999999999997,0.00010313375116682844,0.001633444459261224,0.02439477445729205,0.011509428369887753,True,dpd,baseline,0.05026262369386536,0.012449342160269425,0.030975907122320456,0.05770657172526328,0.7732
1,CA,2016,temporal_1yr,0.10217204989467593,0.09034166978143768,0.8218,0.8982064639999998,0.08078714220808725,0.10918341933096015,0.7632,0.8982064639999998,0.02092798727850978,0.054217155753184886,0.014906810925598667,0.03931034482758622,0.08089162495985969,0.05421218660939242,0.00027379115356052086,0.7772,0.8982064639999998,0.47999999999999987,0.3999999999999999,0.008503133751166847,0.014766555540738746,0.008647383830920046,0.027442107585445734,True,pp_diff,baseline,0.06181720085911363,0.005626379826866285,0.08828744263662913,0.0042955681301887205,0.8216
2,CA,2017,temporal_2yr,0.09980540167971608,0.07509039095506327,0.811,0.8904249265711621,0.10023458010065717,0.07570363075365451,0.8132,0.8904249265711621,0.05422360500568041,0.02609751321616416,0.0054399062183509705,0.020657606997813188,0.0851318067909268,0.014357983576986366,0.006303000590317076,0.8122,0.8904249265711621,0.47999999999999987,0.3999999999999999,0.02470313375116684,0.004633444459261227,0.01341259369510821,0.0006392322893297477,False,pp_diff,baseline,0.05422360500568041,0.02609751321616416,0.0851318067909268,0.014357983576986366,0.8122
3,CA,2018,temporal_3yr,0.11840281061352764,0.08853283726994576,0.8106,0.8943480060943296,0.11892284861371094,0.08607299879912164,0.8116,0.8943480060943296,0.06834911295710239,0.02410631665356347,0.0013472352389878317,0.022759081414575638,0.08783324209094379,0.02192010745632378,0.010784834595364279,0.8082,0.8943480060943296,0.47999999999999987,0.3999999999999999,0.04150313375116682,0.001433444459261246,0.0004907740420910833,0.0038593093089802537,False,pp_diff,baseline,0.06834911295710239,0.02410631665356347,0.08783324209094379,0.02192010745632378,0.8082
4,MS,2018,demo_shift_MS,0.13463349011967585,0.09231298013754113,0.7632,0.8479130763717527,0.1446094352506973,0.08699966196314321,0.7576,0.8479130763717527,0.09304630086174076,0.073235530054655,0.021567381095680294,0.0516681489589747,0.18808558923650515,0.015101387807985422,0.03841859028620587,0.7398,0.8479130763717527,0.7999999999999996,0.7999999999999996,0.08589686624883314,0.02343344445926121,0.06161864875100497,0.12430660909991188,True,pp_diff,label_distribution_shift,0.06940016141135555,0.02603339774044841,0.10010822510822515,0.11581528818072317,0.7902
5,HI,2018,demo_shift_HI,0.08561232939531332,0.07510339822351572,0.7816,0.8558353698500553,0.05144412169334166,0.06180926046099265,0.7188,0.8558353698500553,0.05144412169334166,0.06180926046099265,0.0008965975921119036,0.06091266286888075,0.08390376143680112,0.0556576848692617,0.01389894897954258,0.7188,0.8558353698500553,0.7799999999999998,0.7599999999999998,0.007703133751166824,0.002633444459261225,0.06685020998473222,0.027303927126794345,True,pp_diff,baseline,0.03967388102859673,0.015175972950578657,0.06801355811256793,0.06482701213251296,0.736
6,WV,2018,demo_shift_WV,0.15363458922339857,0.10560619396512638,0.7674,0.8468573822775848,0.08036740634828383,0.06944928453139436,0.7788,0.8468573822775848,0.06021303242032501,0.003782617470468222,0.0032246997633300217,0.0005579177071382002,0.17839863762353658,0.10075258254234809,0.03085983090904576,0.779,0.8468573822775848,0.8199999999999996,0.7799999999999998,0.07869686624883315,0.002766555540738791,0.09554866991178154,0.0287317918661902,True,pp_diff,label_distribution_shift,0.050382398852031954,0.0005908064860506781,0.18112265688671558,0.11081851869948389,0.7732
7,ND,2018,feature_drift_ND,0.20637065440194174,0.14631924596700763,0.7575757575757576,0.8391433956274702,0.05352083949458998,0.03188629235435591,0.7156004489337823,0.8391433956274702,0.019263912542448927,0.13038917471448233,0.012436462593856033,0.1179527121206263,0.15237797246558205,0.19027218307345573,0.048270199652162504,0.7191919191919192,0.8391433956274702,0.7999999999999996,0.8199999999999996,0.0007309676456674352,0.023599776640626513,0.08173417362565447,0.19073117384992336,True,acc_gap,baseline,0.07538318767272763,0.022301091158493883,0.07922733213775501,0.17168541388347835,0.7214365881032547
8,NY,2018,feature_drift_NY,0.12557110029683693,0.1292666139587811,0.7902,0.8776775512061525,0.09245132336537666,0.12764768808887184,0.7214,0.8776775512061525,0.12068851578167356,0.20327914618301646,0.02430082327782025,0.17897832290519622,0.005773721441462931,0.016345953370469846,0.005144215808060459,0.711,0.8776775512061525,0.6999999999999997,0.6399999999999998,0.04250313375116682,0.026633444459261246,0.044749254172277514,0.00676109894065503,True,fnr_gap,baseline,0.05478882589955544,0.008778707336150951,0.07037986920804462,0.04053550018489305,0.7698
9,FL,2018,feature_drift_FL,0.1671841657304573,0.19731774143248768,0.7788,0.8620751175387477,0.14109176518698308,0.19318626019652174,0.7856,0.8620751175387477,0.10363858166638382,0.09545540194365001,0.015675865287803042,0.07977953665584697,0.13016352786173757,0.031440932437328484,0.0238171840349507,0.786,0.8620751175387477,0.5399999999999998,0.3999999999999999,0.02849686624883313,0.011433444459261255,0.1464573610817553,0.05977633490981806,True,pp_diff,baseline,0.06922437314030033,0.01903321778723971,0.17020206820514772,0.011819233146347807,0.7706
