window,dpd_static,eod_static,acc_static,auc_static,dpd_global,eod_global,acc_global,auc_global,dpd,eod,fpr_gap,fnr_gap,pp_diff,acc_gap,auc_gap,accuracy,auc,threshold_g0,threshold_g1,demo_shift,feature_drift,label_noise,intervention_triggered,worst_metric,likely_cause,dpd_after,eod_after,pp_diff_after,acc_gap_after,acc_after,model
0,0.019555555555555604,0.08597366119877264,0.7766666666666666,0.8541202665778973,0.019555555555555604,0.08597366119877264,0.7766666666666666,0.8541202665778973,0.019555555555555604,0.08597366119877264,0.03781143052703628,0.04816223067173636,0.1218872266973533,0.014666666666666717,0.000776903213405622,0.7766666666666666,0.8541202665778973,0.5,0.5,0.5,0.0,0.0,True,pp_diff,baseline,0.061777777777777765,0.010936448884095284,0.09105864248269313,0.01244444444444437,0.7804444444444445,LogReg
1,0.03999999999999998,0.06023565679503398,0.7842222222222223,0.8671725048415276,0.033777777777777795,0.08347189901405361,0.7882222222222223,0.8671725048415276,0.08666666666666667,0.02921341748565648,0.0012498129780309508,0.027963604507625528,0.11243411376415358,0.001777777777777767,0.01705649741406079,0.792,0.8671725048415276,0.41999999999999993,0.47999999999999987,0.5,0.0,0.0,True,pp_diff,baseline,0.07466666666666666,0.007816597056872182,0.11385322692574595,0.0004444444444443585,0.7904444444444444,LogReg
2,0.030222222222222206,0.04619033190577329,0.7828888888888889,0.8591791459245182,0.013333333333333308,0.0841078375681153,0.782,0.8591791459245182,0.06266666666666665,0.05340488206006749,0.018349300520791922,0.03505558153927557,0.11204322885950824,0.023111111111111082,0.009586151854519387,0.7871111111111111,0.8591791459245182,0.3999999999999999,0.4599999999999999,0.5,0.05,0.0,True,pp_diff,baseline,0.02844444444444444,0.00042556762008742754,0.05808148238054778,0.0662222222222223,0.694,LogReg
3,0.03806958473625138,0.07360289462887928,0.7893333333333333,0.8626041852269803,0.09670033670033669,0.16341953393735448,0.6875555555555556,0.8626041852269803,0.0381144781144781,0.028295247340672472,0.01322117233501309,0.015074075005659382,0.11923116991353266,0.0742985409652076,0.015453638496089828,0.71,0.8626041852269803,0.7999999999999996,0.7399999999999998,0.55,0.1,0.0,True,pp_diff,baseline,0.07272727272727275,0.012373346730441825,0.1277571030849558,0.005297418630751949,0.7862222222222223,LogReg
4,0.0188888888888889,0.07343064110745443,0.7644444444444445,0.8309932071004562,0.005370370370370359,0.10624914427816678,0.7566666666666667,0.8309932071004562,0.05981481481481482,0.03939187670859737,0.01819707929491185,0.021194797413685518,0.1211649240995909,0.01518518518518519,0.031291979893041,0.7653333333333333,0.8309932071004562,0.3999999999999999,0.4599999999999999,0.6,0.1,0.05,True,pp_diff,baseline,0.06518518518518523,0.013260805157348038,0.11084797555385784,0.019444444444444486,0.75,LogReg
5,0.02202686202686205,0.05092171671991838,0.7544444444444445,0.8144453104273061,0.010940170940170968,0.1131795033307027,0.7191111111111111,0.8144453104273061,0.060512820512820475,0.032762618888176165,0.003844855006706782,0.028917763881469383,0.10685004680064891,0.026422466422466484,0.025169473347844806,0.7371111111111112,0.8144453104273061,0.29999999999999993,0.3799999999999999,0.65,0.15,0.05,True,pp_diff,demographic_shift,0.044200244200244154,0.004604822276619749,0.10249372082627861,0.03296703296703296,0.6966666666666667,LogReg
6,0.02031746031746029,0.031575411523914604,0.736,0.7883304718267222,0.026137566137566126,0.08747592381603687,0.6522222222222223,0.7883304718267222,0.032275132275132346,0.021653248414868487,0.0019227528359537227,0.019730495578914764,0.061087017652734166,0.02465608465608471,0.008494477726678662,0.6731111111111111,0.7883304718267222,0.2,0.26,0.7,0.15,0.1,True,pp_diff,demographic_shift,0.021481481481481463,0.0077449564768276025,0.037577639751552816,0.028465608465608416,0.7028888888888889,LogReg
7,0.011957671957672,0.052194337816188624,0.7348888888888889,0.7914484450722555,0.049417989417989416,0.0639558529391572,0.6713333333333333,0.7914484450722555,0.005820105820105809,0.06018151916777599,0.026140454509991876,0.034041064657784115,0.09840583305469575,0.04582010582010576,0.0007182167061200451,0.6846666666666666,0.7914484450722555,0.7399999999999998,0.6799999999999997,0.7,0.2,0.1,True,pp_diff,demographic_shift,0.038095238095238126,0.0036438267486461062,0.07492152075340075,0.003809523809523818,0.7262222222222222,LogReg
8,0.05428571428571427,0.04614046269553437,0.6984444444444444,0.7426528979964739,0.01746031746031751,0.07561173881832065,0.6797777777777778,0.7426528979964739,0.053333333333333344,0.07304518294973109,0.02755184724862314,0.045493335701107945,0.14881087775166169,0.04338624338624342,0.024841504252374857,0.6866666666666666,0.7426528979964739,0.33999999999999997,0.3799999999999999,0.7,0.2,0.15,True,pp_diff,demographic_shift,0.028253968253968254,0.026966525442867872,0.12771605276120634,0.028888888888888853,0.698,LogReg
9,0.03326007326007324,0.06120976374814635,0.7251111111111112,0.7748140177491089,0.07570207570207568,0.11649536897570414,0.7124444444444444,0.7748140177491089,0.013479853479853476,0.0721880555884852,0.04846674526371156,0.023721310324773648,0.14343419438731753,0.011037851037851043,0.030103521483077822,0.716,0.7748140177491089,0.6199999999999999,0.5599999999999998,0.65,0.15,0.1,True,pp_diff,demographic_shift,0.03995115995115994,0.015457290942655327,0.08574814132129738,0.015140415140415198,0.7088888888888889,LogReg
